Date,Symbol,Close,High,Low,Open,Volume
2018-01-01,TSLA,311.35,311.35,311.35,311.35,0
2018-01-02,TSLA,320.53,322.1099,311.0,312.0,4352241
2018-01-03,TSLA,317.25,325.25,315.55,321.0,4521527
2018-01-04,TSLA,314.62,318.55,305.68,312.87,9946304
2018-01-05,TSLA,316.58,317.24,312.0,316.62,4591180
2018-01-08,TSLA,336.41,337.0199,315.5,316.0,9859435
2018-01-09,TSLA,333.69,338.8,327.405,335.16,7146631
2018-01-10,TSLA,334.8,337.0,330.0,332.2,4309926
2018-01-11,TSLA,337.95,344.8099,333.26,335.24,6645484
2018-01-12,TSLA,336.22,340.41,333.67,338.63,4825059
2018-01-15,TSLA,336.22,336.22,336.22,336.22,0
2018-01-16,TSLA,340.06,345.0,334.8,337.54,6474251
2018-01-17,TSLA,347.16,349.0,339.75,340.47,7103505
2018-01-18,TSLA,344.57,352.3,343.74,345.67,5685845
2018-01-19,TSLA,350.02,350.5899,342.6,345.0,4888303
2018-01-22,TSLA,351.56,357.83,349.2,349.4,6210360
2018-01-23,TSLA,352.79,360.5,351.0,360.0,5465414
2018-01-24,TSLA,345.89,354.75,343.52,354.58,5287478
2018-01-25,TSLA,337.64,349.2,336.4,348.27,6740303
2018-01-26,TSLA,342.85,344.0,335.71,341.5,4539356
2018-01-29,TSLA,349.53,350.85,338.28,339.85,4747149
2018-01-30,TSLA,345.82,348.27,342.17,345.14,4717700
2018-01-31,TSLA,354.31,356.19,345.19,347.51,6214069
2018-02-01,TSLA,349.25,359.66,348.63,351.0,4197687
2018-02-02,TSLA,343.75,351.95,340.51,348.44,3704836
2018-02-05,TSLA,333.13,344.47,333.0,337.97,4464147
2018-02-06,TSLA,333.97,336.22,323.5,325.21,5088438
2018-02-07,TSLA,345.0,346.0,335.66,338.99,6969239
2018-02-08,TSLA,315.23,348.62,314.6,343.31,10314573
2018-02-09,TSLA,310.42,320.9845,294.76,319.93,12933721
2018-02-12,TSLA,315.73,318.08,306.25,316.13,6227822
2018-02-13,TSLA,323.66,324.19,312.5105,315.02,4560231
2018-02-14,TSLA,322.31,326.17,318.52,320.84,3950743
2018-02-15,TSLA,334.065,334.12,322.4,324.5,5912917
2018-02-16,TSLA,335.49,343.12,331.64,332.5,5642637
2018-02-19,TSLA,335.49,335.49,335.49,335.49,0
2018-02-20,TSLA,334.77,340.84,331.5,334.47,4009435
2018-02-21,TSLA,333.3,339.6929,333.17,336.03,3219649
2018-02-22,TSLA,346.17,347.44,334.7501,335.53,6969808
2018-02-23,TSLA,352.05,354.99,347.1,347.83,5817387
2018-02-26,TSLA,357.42,359.0,352.355,353.5,4339985
2018-02-27,TSLA,350.99,359.99,350.01,356.25,4797419
2018-02-28,TSLA,343.06,355.24,342.22,352.57,6069658
2018-03-01,TSLA,330.93,348.67,330.07,345.01,6885601
2018-03-02,TSLA,335.12,335.22,322.97,326.98,5092829
2018-03-05,TSLA,333.35,337.75,329.2929,332.39,3823769
2018-03-06,TSLA,328.2,336.37,327.03,333.75,4285744
2018-03-07,TSLA,332.3,332.5,321.74,325.44,5007297
2018-03-08,TSLA,329.1,333.3,326.274,332.86,3566244
2018-03-09,TSLA,327.17,328.49,322.37,324.1,5506764
2018-03-12,TSLA,345.51,347.21,326.5,328.61,8264035
2018-03-13,TSLA,341.84,345.12,336.2635,344.92,5965805
2018-03-14,TSLA,326.63,339.81,323.93,336.76,7967370
2018-03-15,TSLA,325.6,332.85,321.1,329.38,6564801
2018-03-16,TSLA,321.35,327.4,319.07,325.96,6117279
2018-03-19,TSLA,313.56,320.75,309.67,316.5,7484294
2018-03-20,TSLA,310.55,316.25,308.76,314.87,4764293
2018-03-21,TSLA,316.53,322.44,310.19,310.25,5958411
2018-03-22,TSLA,309.1,318.82,308.18,313.89,4939771
2018-03-23,TSLA,301.54,311.61,300.45,311.25,6654899
2018-03-26,TSLA,304.18,307.59,291.36,307.34,8375175
2018-03-27,TSLA,279.18,304.27,277.18,304.0,13872029
2018-03-28,TSLA,257.78,268.68,252.1,264.58,21001437
2018-03-29,TSLA,266.13,270.9599,248.21,256.49,15170749
2018-03-30,TSLA,266.13,266.13,266.13,266.13,0
